gene,base_mean,log2fc,pvalue
G894,67.76,-0.132,0.75
G895,14.9,-0.382,0.547
G896,32.76,-0.295,0.555
G897,6.85,-0.351,0.673
G898,33.88,0.421,0.395
G899,8.15,0.254,0.745
G900,6.32,-0.323,0.706
G901,57.31,-0.404,0.349
G902,46.28,0.629,0.167
G903,7.94,0.736,0.35
G904,196.84,-0.257,0.442
G905,43.13,0.189,0.684
G906,84.8,-0.288,0.465
G907,20.02,0.319,0.581
G908,164.69,-0.193,0.576
G909,79.87,0.806,0.0434
G910,35.04,-0.19,0.698
G911,168.34,0.306,0.373
G912,20.81,-0.48,0.4
G913,202.82,0.333,0.316
G914,12.47,-0.002,0.998
G915,677.98,0.174,0.536
G916,12.96,-0.751,0.258
G917,45.03,-0.103,0.822
G918,11.13,-2.192,0.00173
G919,236.09,0.023,0.943
G920,479.23,-0.321,0.273
G921,56.17,0.819,0.0588
G922,68.06,-0.687,0.097
G923,31.84,-0.478,0.342
G924,21.11,-0.842,0.138
G925,12.05,-0.426,0.532
G926,91.94,0.379,0.327
G927,78.46,0.247,0.538
G928,103.25,-0.194,0.607
G929,236.57,0.379,0.242
G930,19.28,-0.369,0.528
G931,20.97,0.114,0.841
G932,242.85,0.675,0.0364
G933,50.38,-0.09,0.84
G934,79.02,0.557,0.164
G935,37.09,-0.092,0.849
G936,47.06,0.591,0.192
G937,89.09,0.285,0.464
G938,9.03,0.057,0.94
G939,6.95,-0.951,0.25
G940,340.46,0.217,0.479
G941,12.77,1.096,0.101
G942,657.9,0.022,0.938
G943,287.32,0.261,0.406
G944,7.9,-0.86,0.276
G945,219.14,-0.018,0.956
G946,246.06,-0.168,0.602
G947,21.48,-0.682,0.228
G948,102.59,-2.246,2.81e-09
G949,95.29,0.752,0.0501
G950,11.2,-0.28,0.688
G951,65.4,-0.547,0.191
G952,264.84,0.182,0.567
G953,277.46,-0.283,0.371
G954,215.68,0.162,0.622
G955,279.82,-0.088,0.78
G956,129.84,0.717,0.0467
G957,26.22,0.06,0.91
G958,15.87,0.002,0.997
G959,145.63,0.148,0.675
G960,169.08,0.311,0.365
G961,102.1,-0.352,0.352
G962,40.64,0.8,0.0894
G963,146.28,0.212,0.547
G964,82.32,-0.458,0.248
G965,1.21,4.304,0.0102
G966,16.18,-0.665,0.282
G967,358.65,-0.13,0.669
G968,11.46,-0.266,0.701
G969,4.52,1.443,0.138
G970,329.44,0.384,0.213
G971,63.49,-0.325,0.44
G972,11.92,-0.889,0.193
G973,11.87,-0.427,0.533
G974,77.82,0.392,0.329
G975,71.25,0.141,0.731
G976,182.64,0.035,0.918
G977,823.94,-0.168,0.542
G978,14.59,0.441,0.49
G979,9.9,-0.124,0.865
G980,23.08,-1.046,0.0586
G981,2719.57,0.063,0.802
G982,2.27,0.62,0.629
G983,124.35,-0.12,0.741
G984,1177.92,0.248,0.352
G985,543.59,-0.131,0.65
G986,36.95,-0.611,0.206
G987,701.73,-0.003,0.991
G988,39.6,0.482,0.309
G989,1.36,-0.349,0.826
G990,16.07,0.285,0.645
G991,74.99,0.151,0.709
G992,68.56,0.285,0.49
G993,354.43,0.11,0.718
G994,31.21,0.216,0.67
G995,3.09,0.536,0.635
G996,11.99,0.607,0.374
G997,26.76,-0.781,0.14
G998,84.7,0.138,0.726
G999,10.96,0.28,0.691
G1000,54.44,-0.097,0.824
G1001,126.55,-0.45,0.214
G1002,12.71,0.065,0.923
G1003,0.7,-0.557,0.794
G1004,238.19,0.192,0.553
G1005,346.17,0.073,0.811
G1006,135.34,0.086,0.81
G1007,232.54,-0.173,0.594
G1008,42.53,0.061,0.896
G1009,40.01,0.269,0.57
G1010,26.3,-0.155,0.771
G1011,54.7,0.408,0.35
G1012,314.53,-0.032,0.918
G1013,160.51,-0.258,0.456
G1014,26.18,0.287,0.59
G1015,660.32,-0.06,0.832
G1016,20.67,0.174,0.761
G1017,463.63,0.085,0.773
G1018,895.58,-0.33,0.228
G1019,13.96,0.801,0.217
G1020,15.17,0.163,0.796
G1021,205.55,-0.348,0.294
G1022,12.52,0.424,0.528
G1023,109.14,0.26,0.486
G1024,181.22,-0.396,0.243
G1025,8.32,0.338,0.663
G1026,64.99,-0.715,0.0875
G1027,19.47,-0.291,0.617
G1028,381.22,-0.195,0.518
G1029,630.86,-0.082,0.773
G1030,52.28,-0.099,0.822
G1031,29.86,0.738,0.15
G1032,294.17,0.56,0.0739
G1033,52.93,-0.034,0.938
G1034,371.61,0.188,0.535
G1035,66.56,0.529,0.204
G1036,51.85,-2.445,3.22e-08
G1037,25.05,0.944,0.0803
G1038,5.31,0.37,0.686
G1039,6.56,1.01,0.232
G1040,27.46,0.478,0.363
G1041,930.25,-0.024,0.93
G1042,4.05,0.381,0.707
G1043,34.16,0.099,0.841
G1044,30.69,0.417,0.412
G1045,1604.83,0.392,0.132
G1046,175.94,0.503,0.14
G1047,23.63,0.42,0.444
G1048,3.58,-1.011,0.343
G1049,97.1,0.183,0.632
G1050,908.09,-0.275,0.314
G1051,149.17,0.232,0.509
G1052,1.92,0.501,0.716
G1053,71.29,-0.646,0.115
G1054,76.07,-0.228,0.572
G1055,35.21,-0.291,0.552
G1056,69.32,-0.214,0.604
G1057,34.43,0.181,0.713
G1058,52.94,-0.099,0.822
G1059,670.84,-0.234,0.406
G1060,41.64,-0.559,0.232
G1061,1181.21,-0.258,0.333
G1062,112.75,0.494,0.183
G1063,82.54,-0.641,0.106
G1064,25.56,0.226,0.674
G1065,27.2,1.988,0.000161
G1066,16.74,-0.385,0.529
G1067,4.19,-1.806,0.0714
G1068,61.55,-1.099,0.00953
G1069,13.23,-0.097,0.883
G1070,6.44,0.912,0.284
G1071,24.32,-0.523,0.337
G1072,170.2,-0.457,0.182
G1073,3614.21,-0.313,0.204
G1074,130.91,-0.066,0.854
G1075,888.37,0.119,0.664
G1076,485.99,-0.132,0.652
G1077,41.78,0.443,0.343
G1078,45.92,0.099,0.828
G1079,61.65,-0.707,0.0952
G1080,1.08,0.187,0.915
G1081,1362.22,-0.019,0.942
G1082,22.06,0.372,0.507
G1083,287.52,-0.647,0.0396
G1084,10.9,-0.5,0.478
G1085,569.28,0.111,0.699
G1086,49.05,-0.083,0.853
G1087,49.08,0.25,0.577
G1088,37.22,-0.375,0.437
G1089,16.66,1.058,0.0839
G1090,161.25,0.347,0.316
G1091,12.96,-0.036,0.957
G1092,80.65,0.37,0.353
G1093,154.43,-0.14,0.688
G1094,23.5,-0.242,0.66
G1095,71.86,0.02,0.961
G1096,11.37,0.24,0.73
G1097,49.88,0.141,0.752
G1098,86.17,0.121,0.758
G1099,482.67,0.49,0.0943
G1100,628.42,0.516,0.0691
G1101,36.72,-0.752,0.12
G1102,92.56,-0.13,0.736
G1103,19.59,1.044,0.0726
G1104,5.19,1.688,0.0672
G1105,26.42,1.071,0.0438
G1106,748.72,-0.236,0.397
G1107,50.67,0.481,0.279
G1108,7.93,-1.25,0.113
G1109,11.92,-1.732,0.0113
G1110,50.21,0.206,0.644
G1111,1046.27,-0.031,0.908
G1112,0.3,1.761,0.478
G1113,21.53,0.681,0.228
G1114,113.61,-0.593,0.109
G1115,128.34,-0.406,0.261
G1116,29.38,-0.148,0.774
G1117,39.89,-0.114,0.81
G1118,189.45,-0.489,0.146
G1119,5.72,0.256,0.773
G1120,1956.38,0.094,0.714
G1121,434.04,0.12,0.686
G1122,242.71,-0.131,0.685
G1123,137.39,-0.329,0.356
G1124,205.95,0.008,0.981
G1125,31.29,-0.378,0.455
G1126,16.6,0.572,0.351
G1127,184.79,0.22,0.515
G1128,39.52,0.438,0.356
G1129,1083.42,0.07,0.794
G1130,150.56,1.65,2.49e-06
G1131,59.73,0.346,0.418
G1132,18.82,0.346,0.557
G1133,2429.48,0.331,0.19
G1134,23.93,-0.3,0.583
G1135,939.64,-0.419,0.124
G1136,40.87,-0.387,0.411
G1137,149.85,0.196,0.576
G1138,114.81,-0.021,0.955
G1139,21.73,-0.421,0.455
G1140,19.27,-0.155,0.791
G1141,15,-0.017,0.979
G1142,13.4,-0.485,0.46
G1143,119.52,-0.454,0.215
G1144,15.26,-0.486,0.44
G1145,252.2,-0.069,0.83
G1146,8.79,-0.633,0.405
G1147,1137.07,0.101,0.706
G1148,7.04,-0.229,0.781
G1149,23.47,-0.563,0.306
G1150,822.91,0.276,0.317
G1151,89.44,0.12,0.758
G1152,97.01,-0.613,0.109
G1153,53.56,0.091,0.836
G1154,109.84,-0.068,0.855
G1155,117.47,-0.043,0.907
G1156,28.83,-0.211,0.684
G1157,552.22,0.585,0.0423
G1158,7.77,-0.798,0.315
G1159,7734.19,-0.172,0.47
G1160,100.33,0.026,0.945
G1161,439.36,0.209,0.481
G1162,6.12,0.103,0.905
G1163,167.93,0.345,0.315
G1164,428.02,-0.502,0.0913
G1165,81.72,-0.679,0.0872
G1166,85.01,0.081,0.837
G1167,461.53,0.199,0.499
G1168,1270.02,0.161,0.543
G1169,6.3,-0.546,0.524
G1170,264.74,0.179,0.574
G1171,151.76,0.5,0.153
G1172,15.54,-1.233,0.0488
G1173,5.89,1.847,0.0357
G1174,10.97,2.391,0.000672
G1175,143.32,-0.347,0.326
G1176,10.57,-0.155,0.828
G1177,827.28,-0.241,0.382
G1178,98.76,0.785,0.0394
G1179,417.99,0.036,0.904
G1180,63.91,-0.493,0.241
G1181,51.99,-0.102,0.817
G1182,111.65,-0.035,0.925
G1183,26.81,0.725,0.171
G1184,61.28,-1.326,0.00178
G1185,80.87,-0.06,0.88
G1186,67.71,-0.308,0.457
G1187,54.34,-0.006,0.989
G1188,6.18,-0.196,0.82
G1189,208.1,-0.639,0.0535
G1190,53.95,0.309,0.48
G1191,5.65,0.742,0.406
G1192,915.09,-0.166,0.543
G1193,285.28,0.066,0.834
G1194,145.76,-0.933,0.00813
G1195,319.62,-0.218,0.481
G1196,50.87,-0.122,0.784
G1197,184.87,1.145,0.000697
G1198,19.43,0.081,0.889
G1199,5.78,-0.871,0.325
G1200,70.9,1.003,0.0144
G1201,89.82,-0.175,0.653
G1202,15.37,4.856,1e-12
G1203,320.34,0.025,0.936
G1204,37.84,-0.959,0.0458
G1205,306.79,-0.4,0.199
G1206,126.41,0.259,0.475
G1207,61.14,0.867,0.0412
G1208,9.3,-0.378,0.612
G1209,1404.53,0.064,0.808
G1210,15.94,-0.65,0.295
G1211,3.52,0.529,0.622
G1212,47.42,0.247,0.585
G1213,6.5,0.818,0.334
G1214,118.76,-0.014,0.97
G1215,18.01,0.05,0.933
G1216,9.51,-0.511,0.489
G1217,7.89,0.363,0.646
G1218,35.19,-0.106,0.829
G1219,6.36,-1.034,0.226
G1220,41.05,0.863,0.0662
G1221,127.5,0.143,0.693
G1222,30.5,0.374,0.463
G1223,73.84,-0.312,0.442
G1224,41.84,-0.43,0.358
G1225,12.54,-0.392,0.56
G1226,1630.26,-0.011,0.966
G1227,125.61,-0.639,0.0782
G1228,53.59,0.136,0.756
G1229,8.76,1.757,0.0209
G1230,168.27,-0.699,0.0418
G1231,145.25,0.092,0.794
G1232,128.59,-0.086,0.812
G1233,2.96,0.162,0.888
G1234,54.33,0.109,0.803
G1235,62.86,0.366,0.386
G1236,68.63,0.158,0.702
G1237,136.33,-0.149,0.676
G1238,7.85,-0.585,0.46
G1239,85.22,-0.197,0.616
G1240,185.84,-0.229,0.497
G1241,1088.3,0.299,0.265
G1242,5.61,1.146,0.201
G1243,30.85,0.277,0.586
G1244,41.96,0.112,0.81
G1245,68.71,-0.224,0.588
G1246,233.7,-0.552,0.0891
G1247,66.9,0.194,0.641
G1248,22.18,0.09,0.872
G1249,1.73,1.601,0.265
G1250,13.08,0.822,0.215
G1251,5.2,-0.206,0.823
G1252,4.6,-1.358,0.16
G1253,390.64,0.144,0.632
G1254,443.24,-0.016,0.957
G1255,41.91,0.224,0.632
G1256,38.32,0.607,0.205
G1257,47.84,-0.327,0.469
G1258,43.36,-0.714,0.123
G1259,64.25,-0.229,0.585
G1260,249.79,0.222,0.49
G1261,69.93,0.009,0.983
G1262,28.49,0.069,0.894
G1263,15.02,1.08,0.0879
G1264,17.64,-0.018,0.976
G1265,850.07,0.172,0.531
G1266,258.16,0.244,0.445
G1267,73.08,0.272,0.504
G1268,406.19,-0.571,0.0565
G1269,714.64,0.241,0.389
G1270,107.98,0.14,0.708
G1271,45.32,0.1,0.827
G1272,10.89,-0.938,0.183
G1273,992.69,0.292,0.281
G1274,786.71,0.031,0.911
G1275,33.16,0.39,0.433
G1276,38.4,-0.125,0.794
G1277,17.9,-0.792,0.185
G1278,974.53,-0.164,0.545
G1279,45.56,-0.127,0.781
G1280,47.48,-0.367,0.417
G1281,134.54,-0.27,0.451
G1282,183.51,0.326,0.335
G1283,35.96,-1.242,0.0107
G1284,62.85,0.705,0.0947
G1285,36.88,1.124,0.0201
G1286,896.97,0.08,0.77
G1287,86.63,-0.419,0.285
G1288,22.15,-0.516,0.357
G1289,36.99,0.372,0.441
G1290,873.46,-0.274,0.318
G1291,15.43,-0.765,0.223
G1292,105.67,0.072,0.848
G1293,373.3,0.139,0.646
G1294,138.22,0.647,0.0692
G1295,4.25,-2.034,0.0412
G1296,44.54,-0.845,0.0661
G1297,79.95,0.602,0.131
G1298,9.02,0.38,0.614
G1299,24.39,-0.896,0.0995
G1300,0.74,3.838,0.065
G1301,15.58,0.462,0.46
G1302,69.63,-0.595,0.148
G1303,122.81,0.603,0.098
G1304,1075.66,0.109,0.685
G1305,17.17,0.702,0.247
G1306,15.56,-1.299,0.0379
G1307,424.19,0.243,0.414
G1308,52.29,-0.063,0.886
G1309,35.04,0.17,0.729
G1310,56.2,-0.017,0.969
G1311,229.56,0.711,0.029
G1312,0.67,-5.043,0.0204
G1313,25.37,-0.387,0.472
G1314,394.29,-0.096,0.749
G1315,1236.4,-0.094,0.723
G1316,4.51,0.132,0.892
G1317,153.49,0.61,0.0806
G1318,48.15,-0.121,0.788
G1319,68.72,0.775,0.0606
G1320,77.88,-0.112,0.78
G1321,33.07,-0.086,0.863
G1322,7.64,0.61,0.445
G1323,221.2,0.094,0.774
G1324,83.26,-0.515,0.193
G1325,39.98,-0.066,0.889
G1326,5.92,-1.074,0.221
G1327,79.1,0.303,0.449
G1328,30.05,0.001,0.998
G1329,34.08,-0.064,0.897
G1330,71.41,-0.029,0.944
G1331,28.43,-0.229,0.66
G1332,26.15,0.385,0.47
G1333,49.65,-0.383,0.392
G1334,65.12,-0.103,0.805
G1335,10.88,0.088,0.901
G1336,8.67,-0.698,0.361
G1337,226.8,-0.477,0.144
G1338,1430.13,0.027,0.918
G1339,13.08,-1.319,0.0465
G1340,9.6,0.929,0.207
G1341,95.02,-0.259,0.5
G1342,48.55,-1.086,0.0157
G1343,5.26,0.616,0.502
G1344,69.78,0.175,0.671
G1345,87.29,0.303,0.439
G1346,93.7,-0.328,0.395
G1347,63.36,0.058,0.89
G1348,254.41,-1.026,0.00136
G1349,151.29,0.277,0.429
G1350,4.68,-0.299,0.755
G1351,15.39,-0.049,0.938
G1352,13.23,0.749,0.256
G1353,46.71,-0.875,0.054
G1354,19.66,0.712,0.22
G1355,26.52,0.066,0.901
G1356,86.8,0.19,0.628
G1357,176.5,-0.347,0.308
G1358,5.78,0.406,0.647
G1359,55.03,-0.361,0.407
G1360,36.67,-0.211,0.663
G1361,16.19,-0.804,0.193
G1362,74.36,0.409,0.313
G1363,8.64,-0.391,0.609
G1364,3.44,-0.847,0.434
G1365,10.02,-0.734,0.312
G1366,42.83,-0.586,0.207
G1367,26.78,0.578,0.275
G1368,554.94,0.051,0.859
G1369,939.71,0.274,0.314
G1370,5.39,-0.677,0.456
G1371,225.61,-0.875,0.00737
G1372,34.41,-0.517,0.294
G1373,1.72,1.753,0.223
G1374,284.91,0.352,0.263
G1375,75.63,-0.253,0.531
G1376,6.47,0.384,0.651
G1377,68.92,-0.039,0.925
G1378,1.31,-1.38,0.394
G1379,1317.23,-0.083,0.753
G1380,93.8,-0.49,0.203
G1381,23.72,0.818,0.136
G1382,485.61,-0.242,0.408
G1383,98.39,0.841,0.0274
G1384,105.44,-0.344,0.36
G1385,270.86,-0.442,0.164
G1386,207.33,0.205,0.536
G1387,24.42,0.044,0.936
G1388,442.71,0.187,0.528
G1389,102.31,-0.125,0.741
G1390,22.77,0.111,0.842
G1391,3721.04,-0.247,0.316
G1392,29.19,-0.967,0.061
G1393,4.98,-0.07,0.94
G1394,264.1,-0.185,0.561
G1395,39.43,0.021,0.965
G1396,48.55,0.512,0.255
G1397,29.34,0.078,0.88
G1398,231.83,-0.366,0.26
G1399,1.08,-0.129,0.942
G1400,150.93,-0.082,0.815
G1401,95.78,-1.5,9.17e-05
G1402,98.3,0.095,0.803
G1403,1080.8,-0.334,0.214
G1404,120.69,-0.061,0.868
G1405,1.85,0.075,0.957
G1406,281.76,0.09,0.775
G1407,0.61,-4.01,0.0771
G1408,91.1,0.133,0.732
G1409,4.69,0.506,0.598
G1410,12.5,-0.747,0.267
G1411,15.08,0.596,0.346
G1412,3772.72,0.39,0.113
G1413,96.33,-0.296,0.44
G1414,1237.35,-0.204,0.442
G1415,124.42,-0.122,0.737
G1416,8.49,1.193,0.121
G1417,106.72,0.328,0.382
G1418,800.38,0.004,0.988
G1419,925.04,0.293,0.282
G1420,1.28,-4.079,0.0126
G1421,6.01,0.452,0.604
G1422,13.61,0.05,0.939
G1423,152.22,-0.293,0.402
G1424,74.66,0.269,0.507
G1425,14.84,-0.676,0.287
G1426,4.97,0.631,0.501
G1427,58.78,0.067,0.876
G1428,54.46,0.4,0.36
G1429,85.74,-0.525,0.181
G1430,55.28,-0.65,0.135
G1431,309.71,-0.243,0.434
G1432,828.34,0.303,0.272
G1433,7.92,0.994,0.207
G1434,31.15,-0.046,0.928
G1435,12.78,-0.664,0.32
G1436,10.94,-0.205,0.771
G1437,99.36,1.681,9.98e-06
G1438,2.67,-0.472,0.694
G1439,14.01,-0.049,0.94
G1440,45.42,0.698,0.127
G1441,487.77,0.085,0.771
G1442,219.89,0.114,0.728
G1443,261.63,0.103,0.747
G1444,19.12,-0.746,0.203
G1445,32.3,-0.142,0.777
G1446,21.86,-0.164,0.771
G1447,200.57,1.968,3.41e-09
G1448,2.67,-0.134,0.911
G1449,64.88,0.385,0.358
G1450,12.06,0.25,0.713
G1451,41,0.39,0.407
G1452,109.39,-0.006,0.987
G1453,843.37,-0.149,0.588
G1454,249.2,0.146,0.65
G1455,14.55,1.53,0.0167
G1456,41.33,-0.014,0.976
G1457,25.06,0.331,0.54
G1458,0.91,1.754,0.355
G1459,91.53,0.122,0.753
G1460,588.22,0.686,0.0164
G1461,91.29,-0.123,0.751
G1462,115.39,-0.025,0.946
G1463,142.66,0.225,0.525
G1464,4945.76,-0.355,0.144
G1465,1.35,0.137,0.932
G1466,14.84,-0.561,0.377
G1467,325.98,-0.116,0.707
G1468,6.55,1.707,0.0434
G1469,412.67,-0.252,0.399
G1470,39.04,-0.219,0.646
G1471,82.24,0.119,0.764
G1472,10.38,-0.167,0.816
G1473,606.46,0.255,0.371
G1474,1.2,-3.305,0.0492
G1475,272.64,-0.094,0.767
G1476,58.73,-1.234,0.004
G1477,20.18,0.56,0.331
G1478,92.41,0.203,0.599
G1479,249.98,0.262,0.415
G1480,287.87,0.327,0.298
G1481,1516.16,0.352,0.178
G1482,27.24,-0.143,0.786
G1483,22.1,-0.015,0.979
G1484,500.85,-0.376,0.197
G1485,89.44,-0.194,0.618
G1486,8.11,1.847,0.0182
G1487,52.12,-0.815,0.065
G1488,15.77,-0.234,0.707
G1489,17.9,-0.054,0.928
G1490,558.83,0.242,0.4
G1491,14.02,0.058,0.929
G1492,33.99,0.507,0.305
G1493,1516.28,0.312,0.232
G1494,91.49,-0.609,0.116
G1495,94.5,0.324,0.4
G1496,9.71,0.348,0.635
G1497,72.37,-0.183,0.654
G1498,286.62,-0.044,0.889
G1499,46.2,-0.143,0.754
G1500,10.28,0.747,0.299
G1501,52.21,-1.568,0.000382
G1502,345.35,-0.148,0.629
G1503,38.41,-0.271,0.571
G1504,25.44,-0.361,0.502
G1505,59.82,-0.055,0.897
G1506,954.58,-0.157,0.563
G1507,37.14,-0.52,0.281
G1508,122.68,-0.043,0.906
G1509,10.79,3.115,1.06e-05
G1510,19.13,-0.882,0.132
G1511,20.42,-0.417,0.468
G1512,37.44,-0.185,0.701
G1513,47.16,0.07,0.877
G1514,11.36,1.551,0.0256
G1515,34.25,-1.167,0.018
G1516,5.3,-1.042,0.255
G1517,45.37,0.543,0.235
G1518,16.47,-0.663,0.28
G1519,261.75,-0.191,0.549
G1520,150.28,0.151,0.667
G1521,365.96,0.299,0.325
G1522,21.74,-0.245,0.664
G1523,73.83,-0.086,0.832
G1524,8.9,1.005,0.184
G1525,369.02,0.238,0.433
G1526,73.59,-0.866,0.0331
G1527,70.42,0.321,0.434
G1528,7.85,-1.204,0.128
G1529,83.96,0.997,0.0115
G1530,4.7,0.049,0.959
G1531,3.91,-1.321,0.199
G1532,44.72,0.801,0.0811
G1533,30.38,-0.086,0.866
G1534,3.05,1.397,0.219
G1535,24.55,-0.171,0.753
G1536,160.33,0.94,0.00665
G1537,92.44,-0.018,0.963
G1538,20.58,-0.621,0.278
G1539,17.48,0.048,0.937
G1540,22.1,-0.517,0.356
G1541,44.95,0.146,0.75
G1542,200.25,0.086,0.796
G1543,41.94,0.343,0.463
G1544,5.04,0.924,0.322
G1545,19.03,0.078,0.894
G1546,28.43,1.048,0.0439
G1547,20.28,-2.14,0.000199
G1548,22.82,-1.457,0.00865
G1549,398.5,0.123,0.682
G1550,248.31,-0.668,0.0378
G1551,12.42,0.715,0.289
G1552,120.66,0.027,0.941
G1553,23.51,-0.845,0.124
G1554,41.53,0.05,0.915
G1555,6.46,1.112,0.191
G1556,9.17,-0.257,0.731
G1557,47.95,-0.737,0.102
G1558,11.97,-0.663,0.331
G1559,40.27,-0.149,0.752
G1560,126.8,0.95,0.0087
G1561,116.04,-0.393,0.286
G1562,9.95,1.128,0.121
G1563,717.84,-0.2,0.475
G1564,26.54,-0.052,0.922
G1565,526.09,-0.01,0.972
G1566,74.08,0.088,0.828
G1567,95.15,0.882,0.0216
G1568,7.71,0.159,0.842
G1569,70.24,-0.552,0.179
G1570,6.09,0.42,0.629
G1571,404.26,0.57,0.0571
G1572,559.93,-0.043,0.881
G1573,151.69,0.153,0.662
G1574,23.78,0.821,0.134
G1575,86.06,0.574,0.144
G1576,39.36,-0.911,0.0551
G1577,632.55,0.199,0.483
G1578,68.84,-0.147,0.722
G1579,15.66,0.129,0.836
G1580,162.85,-0.611,0.0769
G1581,52.69,-0.218,0.621
G1582,766.12,0.177,0.524
G1583,498.31,-0.059,0.84
G1584,7.69,0.696,0.382
G1585,60.24,-0.181,0.671
G1586,31.13,0.42,0.407
G1587,13.93,-0.125,0.847
G1588,2.37,1.382,0.272
G1589,7.77,-0.361,0.649
G1590,285.16,0.147,0.64
G1591,23.59,0.773,0.159
G1592,16.33,1.473,0.0168
G1593,11.97,-0.116,0.865
G1594,1806.6,-0.335,0.194
G1595,132.89,-0.517,0.15
G1596,66.19,-0.435,0.296
G1597,27.48,1.231,0.0191
G1598,17.7,-0.716,0.233
G1599,19.69,-0.799,0.169
G1600,597.04,-0.08,0.779
G1601,12.2,-0.129,0.849
G1602,31.46,0.066,0.896
G1603,5.22,-0.134,0.884
G1604,45.87,-0.18,0.693
G1605,24.22,-1.02,0.0613
G1606,438.45,0.283,0.34
G1607,108.95,0.025,0.947
G1608,202.19,0.267,0.422
G1609,8.93,-0.91,0.228
G1610,214.66,0.679,0.0392
G1611,75.34,0.303,0.454
G1612,10.32,-0.677,0.346
G1613,864.35,0.254,0.355
G1614,22.13,-0.272,0.627
G1615,14.83,0.407,0.522
G1616,3381.11,0.187,0.45
G1617,1323.68,-0.162,0.539
G1618,1040.5,-0.778,0.00391
G1619,13.96,-1.079,0.096
G1620,14.44,-0.018,0.978
G1621,58.19,-0.422,0.326
G1622,2110.41,-0.155,0.543
G1623,243.97,-0.108,0.738
G1624,192.71,-0.06,0.858
G1625,299.9,-0.024,0.939
G1626,24.12,-0.18,0.742
G1627,75.43,-0.447,0.269
G1628,41.86,-0.394,0.399
G1629,9.24,-1.068,0.152
G1630,1970.12,-0.207,0.419
G1631,10.88,-2.381,0.000733
G1632,1.52,-1.198,0.43
G1633,43.78,-0.751,0.104
G1634,102.91,-0.287,0.447
G1635,19.97,-0.456,0.43
G1636,527.96,-0.39,0.178
G1637,4.56,0.209,0.829
G1638,35.68,2.034,3.06e-05
G1639,11.21,-0.421,0.546
G1640,602.95,0.291,0.308
G1641,124.09,0.228,0.531
G1642,83.59,0.055,0.889
G1643,66.04,-0.936,0.0248
G1644,128.88,-0.181,0.616
G1645,64.02,-0.203,0.629
G1646,29.62,-1.036,0.0438
G1647,12.49,-0.714,0.289
G1648,42.72,3.057,4.8e-11
G1649,57,0.009,0.983
G1650,208.64,0.194,0.558
G1651,65.13,0.082,0.845
G1652,232,-0.101,0.756
G1653,83.21,0.325,0.411
G1654,833.15,-0.112,0.684
G1655,34.06,0.048,0.923
G1656,268.99,-0.066,0.835
G1657,40.97,0.365,0.437
G1658,294.99,0.378,0.227
G1659,40.21,-0.387,0.413
G1660,294.08,-0.256,0.414
G1661,56.36,-0.651,0.133
G1662,29.34,-0.382,0.459
G1663,31.43,0.958,0.058
G1664,48.93,-0.109,0.808
G1665,29.74,0.233,0.65
G1666,236.91,0,1
G1667,21.96,-0.263,0.639
G1668,339.09,-0.349,0.255
G1669,3.91,1.585,0.124
G1670,263.09,-0.253,0.427
G1671,51.25,-0.531,0.231
G1672,752.94,-0.311,0.264
G1673,181.36,0.191,0.573
G1674,211.95,0.244,0.46
G1675,284.03,0.012,0.97
G1676,18.79,0.639,0.278
G1677,67.27,0.469,0.259
G1678,2524.34,-0.255,0.311
G1679,86.27,-0.035,0.929
G1680,7.99,-0.443,0.573
G1681,7.22,-0.327,0.688
G1682,24.48,-0.032,0.953
G1683,24.36,1.2,0.0274
G1684,223.24,0.589,0.0717
G1685,27.79,-0.616,0.239
G1686,138.21,-0.533,0.134
G1687,571.01,-0.074,0.797
G1688,18.46,0.033,0.956
G1689,38.5,-0.072,0.88
G1690,101.05,0.172,0.65
G1691,12.56,2.325,0.000535
G1692,118.9,-0.04,0.913
G1693,25.23,-0.111,0.837
G1694,27.34,0.096,0.855
G1695,156.32,0.998,0.00413
G1696,5.02,0.71,0.447
G1697,182.86,-0.548,0.105
G1698,61.62,0.403,0.342
G1699,678.1,0.138,0.624
G1700,2349.53,0.033,0.896
G1701,27.74,0.015,0.977
G1702,32.75,0.215,0.667
G1703,96.91,-0.437,0.253
G1704,28.09,0.568,0.276
G1705,216.18,-0.343,0.297
G1706,113.34,-0.064,0.863
G1707,233.37,-0.179,0.581
G1708,39.51,0.085,0.858
G1709,312.35,0.515,0.0972
G1710,6.54,0.887,0.294
G1711,530.15,-0.256,0.377
G1712,187.86,-0.018,0.957
G1713,22.59,0.482,0.387
G1714,9.35,-1.623,0.029
G1715,195.12,-0.241,0.471
G1716,70.5,0.275,0.503
G1717,118.58,-0.742,0.0432
G1718,53.38,0.024,0.956
G1719,48.43,-0.343,0.446
G1720,183.87,-0.759,0.0247
G1721,59.95,-0.283,0.507
G1722,22.76,0.437,0.431
G1723,23.67,0.408,0.457
G1724,85.82,0.591,0.132
G1725,88.17,0.117,0.764
G1726,36.97,0.097,0.841
G1727,76.61,0.581,0.149
G1728,320.39,-0.396,0.201
G1729,71.28,-0.698,0.0883
G1730,14.19,-0.692,0.283
G1731,1167.11,0.544,0.0415
G1732,116.31,-0.096,0.794
G1733,95.74,-0.938,0.0145
G1734,84.82,-0.584,0.138
G1735,2.93,0.36,0.755
G1736,63.36,-0.594,0.158
